origin,dest,dayofmonth,distance
ORD,CVG,2,264
ORD,FWA,2,157
ORD,FWA,2,157
ORD,MBS,2,222
ORD,MKG,2,118
ORD,DLH,2,397
ORD,CMX,2,360
ORD,EAU,2,269
ORD,FWA,2,157
ORD,MBS,2,222
ORD,PAH,2,342
ORD,PAH,2,342
ORD,SPI,2,174
ORD,SPI,2,174
ORD,MBS,2,222
ORD,CMX,2,360
ORD,DLH,2,397
ORD,EAU,2,269
ORD,MKG,2,118
ORD,SPI,2,174
ORD,DLH,2,397
ORD,PIT,2,413
ORD,SGF,2,438
ORD,SDF,2,286
ORD,MLI,2,139
ORD,MSN,2,108
ORD,MKE,2,67
ORD,CVG,2,264
PHX,LAX,2,370
ORD,MKE,2,67
ORD,CID,2,196
ORD,BNA,2,409
ORD,GRR,2,137
ORD,DAY,2,240
ORD,DAY,2,240
ORD,DTW,2,235
ORD,LEX,2,323
ORD,GRR,2,137
ORD,MKE,2,67
ORD,CLE,2,316
ORD,CWA,2,213
ORD,BNA,2,409
ORD,FSD,2,462
PHX,LAX,2,370
PHX,LAX,2,370
ORD,GRB,2,173
ORD,DSM,2,299
ORD,BNA,2,409
ORD,TVC,2,224
ORD,BUF,2,474
ORD,IND,2,177
ORD,SBN,2,84
ORD,DTW,2,235
ORD,PIT,2,413
ORD,BNA,2,409
ORD,LNK,2,466
ORD,GRR,2,137
ORD,MKE,2,67
ORD,CVG,2,264
ORD,CLE,2,316
ORD,SBN,2,84
ORD,LEX,2,323
ORD,DAY,2,240
ORD,SDF,2,286
ORD,CID,2,196
ORD,LNK,2,466
ORD,SBN,2,84
ORD,FSD,2,462
ORD,MSN,2,108
ORD,STL,2,258
ORD,TVC,2,224
ORD,SBN,2,84
ORD,OMA,2,416
ORD,LEX,2,323
ORD,DAY,2,240
ORD,MEM,2,491
ORD,IND,2,177
ORD,DTW,2,235
ORD,CAK,2,343
ORD,TVC,2,224
ORD,STL,2,258
ORD,BNA,2,409
ORD,GRB,2,173
ORD,GRB,2,173
ORD,MSN,3,108
ORD,FWA,3,157
ORD,FWA,3,157
ORD,FSD,3,462
ORD,OMA,3,416
ORD,MLI,3,139
ORD,IND,3,177
ORD,BUF,3,474
ORD,TVC,3,224
PHX,PSP,3,261
PHX,FLG,3,119
ORD,PIT,3,413
ORD,FSD,3,462
ORD,RST,3,268
ORD,IND,3,177
ORD,MSN,3,108
ORD,CAK,3,343
PHX,IFP,3,188
ORD,RST,3,268
ORD,DSM,3,299
ORD,COU,3,315
ORD,CWA,3,213
PHX,ABQ,3,328
ORD,MLI,3,139
ORD,LSE,3,215
ORD,BMI,3,116
ORD,ALO,3,234
