origin,dest,dayofmonth,distance
PHX,SAN,1,304
PHX,SAN,1,304
PHX,SNA,1,338
PHX,SNA,1,338
PHX,SNA,1,338
PHX,SNA,1,338
PHX,SNA,1,338
PHX,SNA,1,338
PHX,SNA,1,338
CLT,BNA,2,328
CLT,BWI,2,361
CLT,BWI,2,361
PHX,ABQ,2,328
PHX,ABQ,2,328
PHX,ABQ,2,328
PHX,ABQ,2,328
PHX,ABQ,2,328
PHX,ABQ,2,328
PHX,ABQ,2,328
PHX,BUR,2,369
PHX,BUR,2,369
PHX,BUR,2,369
PHX,BUR,2,369
PHX,BUR,2,369
PHX,BUR,2,369
PHX,ELP,2,347
PHX,ELP,2,347
PHX,ELP,2,347
PHX,ELP,2,347
PHX,LAS,2,255
PHX,LAS,2,255
PHX,LAS,2,255
PHX,LAS,2,255
PHX,LAS,2,255
PHX,LAS,2,255
PHX,LAS,2,255
PHX,LAS,2,255
PHX,LAS,2,255
PHX,LAS,2,255
PHX,LAS,2,255
PHX,LAX,2,370
PHX,LAX,2,370
PHX,LAX,2,370
PHX,LAX,2,370
PHX,LAX,2,370
PHX,LAX,2,370
PHX,LAX,2,370
PHX,LAX,2,370
PHX,LAX,2,370
PHX,ONT,2,325
PHX,ONT,2,325
PHX,ONT,2,325
PHX,ONT,2,325
PHX,ONT,2,325
PHX,ONT,2,325
PHX,SAN,2,304
PHX,SAN,2,304
PHX,SAN,2,304
PHX,SAN,2,304
PHX,SAN,2,304
PHX,SAN,2,304
PHX,SAN,2,304
PHX,SAN,2,304
PHX,SAN,2,304
PHX,SAN,2,304
PHX,SNA,2,338
PHX,SNA,2,338
PHX,SNA,2,338
PHX,SNA,2,338
PHX,SNA,2,338
PHX,SNA,2,338
PHX,SNA,2,338
CLT,BNA,3,328
CLT,BWI,3,361
CLT,BWI,3,361
PHX,ABQ,3,328
PHX,ABQ,3,328
PHX,ABQ,3,328
